NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRB2	7	5.96609354019165	0.081206694	Yes	
row_1	YWHAG	125	5.151702880859375	0.14270715	Yes	
row_2	YWHAB	196	4.946422576904297	0.20504667	Yes	
row_3	CD9	277	4.769158840179443	0.2641802	Yes	
row_4	LAMC1	469	4.362926483154297	0.30912265	Yes	
row_5	YWHAZ	496	4.32021427154541	0.3663003	Yes	
row_6	RAC1	714	3.939894914627075	0.40342593	Yes	
row_7	LAMA4	886	3.7006843090057373	0.44084796	Yes	
row_8	ITGB1	1175	3.344805955886841	0.46430266	Yes	
row_9	RXRA	1551	2.955578088760376	0.47566405	Yes	
row_10	SHC1	1614	2.8963053226470947	0.51053333	Yes	
row_11	ITGA6	2437	2.1439337730407715	0.47604123	No	
row_12	MST1	3156	1.512176513671875	0.44097322	No	
row_13	YWHAH	3628	1.158935308456421	0.42025682	No	
row_14	HRAS	3795	1.033265233039856	0.42151695	No	
row_15	CASP7	3973	0.9093239307403564	0.4202241	No	
row_16	LAMB3	4123	0.8035164475440979	0.419657	No	
row_17	MET	4402	0.63141930103302	0.40670842	No	
row_18	LAMC2	4860	0.36044710874557495	0.3761385	No	
row_19	YWHAE	4890	0.348949670791626	0.3786667	No	
row_20	MST1R	4957	0.3119700253009796	0.37781328	No	
row_21	LAMB2	5038	0.2672175168991089	0.37525883	No	
row_22	COL17A1	5053	0.26215559244155884	0.37776324	No	
row_23	SFN	5146	0.21697095036506653	0.37358788	No	
row_24	LAMA3	5295	0.15157276391983032	0.3641652	No	
row_25	PRKCA	5315	0.14266371726989746	0.36464375	No	
row_26	ITGB4	5471	0.0840524360537529	0.35375196	No	
row_27	ERBB2	5514	0.07048892229795456	0.35145444	No	
row_28	LAMA5	5608	0.03602781891822815	0.344722	No	
row_29	CDH1	6656	-0.40121665596961975	0.2688677	No	
row_30	RPS6KB1	6812	-0.48246631026268005	0.2634352	No	
row_31	RXRB	7172	-0.681479811668396	0.24487889	No	
row_32	YWHAQ	7354	-0.7887435555458069	0.24162295	No	
row_33	PIK3R1	7768	-1.0740562677383423	0.22425011	No	
row_34	PIK3CA	8560	-1.6383661031723022	0.18523912	No	
row_35	LAMB1	8583	-1.6595603227615356	0.20626989	No	
row_36	PMP22	8630	-1.693369746208191	0.22589915	No	
row_37	AKT1	9683	-2.469195604324341	0.17799291	No	
row_38	EGFR	12570	-5.291877269744873	0.026262606	No	
